Image,Input_Image_Size_MB,Original_Resolution,Output_Resolution,baseline_ms,openmp_ms,openmp_speedup,cuda_ms,cuda_speedup,mpi_ms,mpi_speedup
0042.jpg,47.424,5424x3056,8136x4584,8972.443333333335,477.95733333333334,18.694,47.0311,199.638,435.6076666666666,21.308666666666667
0043.jpg,48.094,5472x3072,8208x4608,9000.69,483.74033333333335,18.638666666666666,40.4336,239.30999999999997,472.0373333333334,20.37666666666667
0044.jpg,49.021,5520x3104,8280x4656,9402.91,508.10999999999996,18.636333333333333,41.846000000000004,243.37333333333333,550.5889999999999,19.223666666666666
0045.jpg,49.957,5568x3136,8352x4704,10432.706666666667,531.5993333333333,19.885,44.6351,249.45166666666668,476.546,23.023333333333337
0046.jpg,51.047,5632x3168,8448x4752,9588.876666666665,557.7603333333333,17.229666666666667,43.54996666666667,238.308,519.9373333333333,19.31233333333333
0047.jpg,51.742,5680x3184,8520x4776,9757.01,446.96000000000004,27.013333333333332,49.8499,200.26166666666668,466.9923333333333,23.072333333333333
0048.jpg,52.704,5728x3216,8592x4824,10073.036666666667,508.60633333333334,20.041333333333334,49.56633333333334,215.55499999999998,525.9826666666667,20.325
0049.jpg,53.674,5776x3248,8664x4872,10370.38,521.8123333333333,20.168666666666667,51.891999999999996,201.13833333333332,543.398,20.083666666666666
0050.jpg,54.653,5824x3280,8736x4920,10493.84,597.7643333333334,17.462333333333333,49.3345,228.413,547.4576666666667,20.033
0051.jpg,55.373,5872x3296,8808x4944,10521.789999999999,578.4573333333334,18.188333333333333,46.509433333333334,243.07766666666666,543.8633333333333,20.252333333333333
0052.jpg,56.367,5920x3328,8880x4992,11178.083333333334,510.1503333333333,22.403333333333332,55.932566666666666,199.08833333333334,517.245,22.269000000000002
0053.jpg,57.371,5968x3360,8952x5040,10993.356666666667,515.318,21.524333333333335,50.605199999999996,232.43200000000002,505.7293333333334,22.902666666666665
0054.jpg,58.107,6016x3376,9024x5064,10883.926666666666,537.8376666666667,20.271,54.89193333333333,207.92399999999998,505.0733333333333,22.427666666666667
0055.jpg,59.126,6064x3408,9096x5112,11086.726666666667,552.5816666666666,20.104,58.2926,203.845,512.449,22.555333333333333
0056.jpg,60.154,6112x3440,9168x5160,11069.840000000002,519.7626666666666,21.415333333333336,58.025933333333334,201.52533333333335,520.7130000000001,22.391666666666666
0057.jpg,60.908,6160x3456,9240x5184,11050.226666666667,570.8206666666666,19.331333333333333,56.8656,201.55000000000004,536.9853333333333,21.235
0058.jpg,61.792,6192x3488,9288x5232,11529.220000000001,569.6803333333334,20.287666666666667,56.44856666666667,216.3756666666667,537.4986666666667,22.540333333333336
0059.jpg,62.556,6240x3504,9360x5256,11605.246666666666,562.43,20.614,62.27206666666666,200.18766666666667,595.9036666666667,20.81266666666667
0060.jpg,63.613,6288x3536,9432x5304,11706.003333333334,577.093,20.371,57.804633333333335,217.15866666666668,572.002,21.552666666666667
0061.jpg,64.679,6336x3568,9504x5352,11822.4,547.2296666666667,21.72566666666667,55.7715,236.29266666666663,572.3393333333333,22.232
0062.jpg,65.461,6384x3584,9576x5376,11987.933333333334,479.72333333333336,28.993666666666666,59.32873333333333,223.64700000000002,572.273,22.544
0063.jpg,66.376,6416x3616,9624x5424,12445.133333333333,592.442,20.992333333333335,60.33363333333333,228.36533333333333,579.7666666666667,21.955666666666662
0064.jpg,67.169,6464x3632,9696x5448,12863.233333333332,642.5966666666667,20.47366666666667,66.33426666666666,205.53466666666668,576.3633333333333,23.386
0065.jpg,68.264,6512x3664,9768x5496,12665.733333333332,637.4773333333334,20.120333333333335,68.09026666666666,195.01700000000002,595.9536666666667,22.13233333333333
0066.jpg,69.067,6560x3680,9840x5520,12669.633333333333,595.5323333333334,21.376,68.17176666666667,199.32533333333333,587.0849999999999,22.25866666666667
0067.jpg,70.008,6592x3712,9888x5568,13087.5,647.6216666666667,20.630333333333336,75.50186666666667,174.55533333333332,624.904,22.113
0068.jpg,70.822,6640x3728,9960x5592,13172.9,613.6393333333334,21.572999999999997,72.6513,193.196,604.8483333333334,22.90133333333333
0069.jpg,71.946,6688x3760,10032x5640,13357.199999999999,659.6923333333333,20.566666666666666,67.17363333333333,224.086,623.3706666666667,22.382
0070.jpg,72.598,6720x3776,10080x5664,13778.366666666667,588.101,23.504666666666665,77.75516666666667,176.6196666666667,636.285,22.739
0071.jpg,73.736,6768x3808,10152x5712,13881.199999999999,689.5473333333333,21.210333333333335,71.20846666666667,214.24633333333335,649.294,22.003333333333334
0072.jpg,74.396,6800x3824,10200x5736,13794.733333333332,659.261,20.992,62.05643333333333,236.607,667.6976666666666,22.579333333333334
