Image,Input_Image_Size_MB,Original_Resolution,Output_Resolution,Megapixels,baseline_ms,openmp_ms,openmp_speedup,cuda_ms,cuda_speedup,mpi_ms,mpi_speedup,baseline_throughput_MPps,openmp_throughput_MPps,cuda_throughput_MPps,mpi_throughput_MPps
0021.jpg,28.208,4192x2352,2096x1176,9.86,598.4593333333333,78.01246666666667,8.743666666666668,9.344333333333333,64.549,35.75043333333333,16.960333333333335,16.476,126.39,1055.185,275.801
0022.jpg,29.029,4256x2384,2128x1192,10.146,612.7416666666667,88.93413333333332,7.803666666666667,9.717533333333334,63.489,32.35166666666667,19.065,16.558,114.084,1044.092,313.616
0023.jpg,30.059,4320x2432,2160x1216,10.506,632.0616666666666,73.57516666666668,12.436666666666667,10.168566666666665,62.208666666666666,37.85916666666666,17.132,16.622,142.793,1033.184,277.502
0024.jpg,30.905,4384x2464,2192x1232,10.802,652.5646666666667,66.79016666666666,11.905333333333333,9.7614,67.722,38.26113333333333,17.636666666666667,16.553,161.73,1106.604,282.323
0025.jpg,31.764,4448x2496,2224x1248,11.102,669.5120000000001,82.82323333333333,8.780333333333333,10.168633333333334,66.562,38.78613333333333,17.552333333333333,16.582,134.045,1091.789,286.236
0026.jpg,32.84,4512x2544,2256x1272,11.479,684.3673333333332,77.83833333333332,10.262666666666666,11.571166666666665,60.369,38.91623333333333,18.161666666666665,16.773,147.472,992.035,294.967
0027.jpg,33.725,4576x2576,2288x1288,11.788,718.1053333333333,85.93846666666667,10.115333333333334,10.402566666666667,69.72533333333332,37.25176666666667,19.715666666666667,16.415,137.168,1133.182,316.441
0028.jpg,34.622,4640x2608,2320x1304,12.101,725.4826666666668,113.86219999999999,7.539333333333334,10.835466666666667,67.82633333333332,40.28563333333333,18.416999999999998,16.68,106.278,1116.795,300.38
0029.jpg,35.409,4688x2640,2344x1320,12.376,738.648,74.81246666666667,11.090666666666666,14.290133333333335,53.58166666666667,47.307566666666666,15.96,16.755,165.427,866.052,261.607
0030.jpg,36.327,4752x2672,2376x1336,12.697,751.8813333333334,126.4468,7.468,11.209866666666665,68.494,42.06546666666667,18.429666666666666,16.887,100.414,1132.663,301.839
0031.jpg,37.258,4816x2704,2408x1352,13.022,775.5569999999999,93.30443333333334,8.879,15.003066666666667,51.36033333333334,47.96163333333334,18.005,16.791,139.565,867.956,271.509
0032.jpg,38.074,4864x2736,2432x1368,13.308,793.2186666666666,89.2396,9.680333333333333,13.044966666666667,61.50666666666667,45.366600000000005,18.320666666666668,16.777,149.127,1020.164,293.344
0033.jpg,39.026,4928x2768,2464x1384,13.641,805.6203333333333,92.61736666666667,10.067,14.923666666666668,55.23866666666667,51.62123333333333,15.788000000000002,16.932,147.283,914.052,264.252
0034.jpg,39.99,4992x2800,2496x1400,13.978,819.5749999999999,98.07369999999999,8.985999999999999,12.4203,67.09466666666667,45.32833333333334,18.384,17.055,142.525,1125.416,308.372
